
Time, Temperature-C, Pressure-Pa, Attitude-m,
2022-10-12 23:22:25,25.36,102614.33,-9.41,
2022-10-12 23:22:28,25.98,102624.62,-10.25,
2022-10-12 23:22:31,25.98,102623.02,-10.12,
2022-10-12 23:22:34,25.98,102619.25,-9.81,
2022-10-12 23:22:37,25.98,102621.27,-9.98,
2022-10-12 23:22:40,25.98,102618.81,-9.78,
2022-10-12 23:22:43,25.97,102622.10,-10.05,
2022-10-12 23:22:46,25.96,102621.68,-10.01,
2022-10-12 23:22:49,25.97,102622.47,-10.08,
2022-10-12 23:22:52,25.96,102623.33,-10.15,
2022-10-12 23:22:55,25.96,102626.07,-10.37,
2022-10-12 23:22:58,25.95,102623.46,-10.16,
2022-10-12 23:23:01,25.95,102621.34,-9.98,
2022-10-12 23:23:04,25.95,102620.66,-9.92,
2022-10-12 23:23:07,25.95,102620.62,-9.92,
2022-10-12 23:23:10,25.94,102621.00,-9.96,
2022-10-12 23:23:13,25.94,102620.66,-9.92,
2022-10-12 23:23:16,25.94,102626.75,-10.43,
2022-10-12 23:23:19,25.94,102625.55,-10.33,
2022-10-12 23:23:22,25.93,102621.13,-9.97,
2022-10-12 23:23:25,25.93,102624.46,-10.24,
2022-10-12 23:23:28,25.93,102623.63,-10.17,
2022-10-12 23:23:31,25.92,102619.39,-9.82,
2022-10-12 23:23:34,25.93,102618.94,-10.01,
2022-10-12 23:23:37,25.92,102620.17,-9.89,
2022-10-12 23:23:40,25.92,102621.61,-10.00,
2022-10-12 23:23:43,25.92,102624.38,-10.23,
2022-10-12 23:23:46,25.92,102625.41,-10.14,
2022-10-12 23:23:49,25.91,102626.30,-10.39,
2022-10-12 23:23:52,25.91,102621.21,-9.97,
2022-10-12 23:23:55,25.91,102623.32,-10.15,
2022-10-12 23:23:58,25.90,102622.95,-10.11,
2022-10-12 23:24:01,25.91,102623.70,-10.18,
2022-10-12 23:24:04,25.91,102623.02,-10.12,
2022-10-12 23:24:07,25.90,102625.27,-10.30,
2022-10-12 23:24:10,25.90,102623.25,-10.14,
2022-10-12 23:24:13,25.90,102625.10,-10.29,
2022-10-12 23:24:16,25.90,102622.22,-10.06,
2022-10-12 23:24:19,25.90,102622.74,-10.10,
2022-10-12 23:24:22,25.89,102624.18,-10.22,
2022-10-12 23:24:25,25.90,102629.14,-10.62,
2022-10-12 23:24:28,25.90,102623.08,-10.13,
2022-10-12 23:24:31,25.89,102627.53,-10.49,
2022-10-12 23:24:34,25.89,102625.14,-10.29,
2022-10-12 23:24:37,25.88,102626.02,-10.37,
2022-10-12 23:24:40,25.88,102621.92,-10.03,
