Time, Temperature-C, Pressure-Pa, Attitude-m,
2022-10-13 09:29:42,26.28,101992.10,41.89,
2022-10-13 09:29:45,26.96,102000.54,41.19,
2022-10-13 09:29:48,26.96,101993.48,41.77,
2022-10-13 09:29:51,26.95,101997.88,41.41,
2022-10-13 09:29:54,26.95,101996.72,41.50,
2022-10-13 09:29:57,26.95,101998.42,41.36,
2022-10-13 09:30:00,26.95,101997.41,41.45,
2022-10-13 09:30:03,26.95,102001.27,41.13,
2022-10-13 09:30:06,26.94,102002.46,41.03,
2022-10-13 09:30:09,26.94,102002.28,41.05,
2022-10-13 09:30:12,26.93,102002.28,41.05,
2022-10-13 09:30:15,26.93,102000.82,41.17,
2022-10-13 09:30:18,26.92,102000.39,41.20,
2022-10-13 09:30:21,26.91,101997.63,41.43,
2022-10-13 09:30:24,26.91,101998.83,41.33,
2022-10-13 09:30:27,26.90,102000.79,41.17,
2022-10-13 09:30:30,26.89,102002.82,41.00,
2022-10-13 09:30:33,26.88,102001.10,41.14,
2022-10-13 09:30:36,26.87,101999.53,41.27,
2022-10-13 09:30:39,26.86,102002.78,41.01,
2022-10-13 09:30:42,26.86,101997.93,41.40,
2022-10-13 09:30:45,26.86,102003.07,40.98,
2022-10-13 09:30:48,26.86,102001.01,41.15,
2022-10-13 09:30:51,26.86,102000.50,41.19,
2022-10-13 09:30:54,26.87,102005.25,40.80,
2022-10-13 09:30:57,26.87,102000.11,41.22,
2022-10-13 09:31:00,26.87,102000.05,41.23,
2022-10-13 09:31:03,26.88,102000.17,41.22,
2022-10-13 09:31:06,26.88,102001.03,41.15,
2022-10-13 09:31:09,26.87,102003.19,40.97,
2022-10-13 09:31:12,26.87,102003.47,40.95,
2022-10-13 09:31:15,26.87,102002.75,41.01,
2022-10-13 09:31:18,26.88,102002.13,41.06,
2022-10-13 09:31:21,26.88,102001.36,41.12,
2022-10-13 09:31:24,26.89,102001.60,41.10,
2022-10-13 09:31:27,26.89,102002.35,41.04,
2022-10-13 09:31:30,26.90,102003.47,40.95,
2022-10-13 09:31:33,26.90,102003.29,40.96,
2022-10-13 09:31:36,26.90,102003.91,40.91,
2022-10-13 09:31:39,26.91,102007.05,40.65,
2022-10-13 09:31:42,26.90,102005.78,40.76,
2022-10-13 09:31:45,26.90,102005.52,40.78,
2022-10-13 09:31:48,26.90,102004.08,40.90,
2022-10-13 09:31:51,26.90,102009.05,40.49,
2022-10-13 09:31:54,26.90,102003.82,40.96,
2022-10-13 09:31:57,26.90,102006.72,40.68,
2022-10-13 09:32:00,26.90,102009.39,40.46,
2022-10-13 09:32:03,26.90,102002.54,41.02,
2022-10-13 09:32:06,26.90,102008.67,40.64,
2022-10-13 09:32:09,26.90,102007.99,40.57,
2022-10-13 09:32:12,26.91,102006.53,40.69,
2022-10-13 09:32:15,26.90,102009.46,40.45,
2022-10-13 09:32:18,26.89,102004.75,40.84,
2022-10-13 09:32:21,26.89,102004.75,40.84,
2022-10-13 09:32:24,26.89,102003.85,40.92,
2022-10-13 09:32:27,26.90,102008.26,40.55,
2022-10-13 09:32:30,26.91,102003.80,40.92,
2022-10-13 09:32:33,26.91,102007.15,40.64,
2022-10-13 09:32:36,26.90,102004.39,40.87,
2022-10-13 09:32:39,26.90,102006.64,40.69,
2022-10-13 09:32:42,26.91,102006.53,40.69,
2022-10-13 09:32:45,26.91,102009.96,40.41,
2022-10-13 09:32:48,26.91,102005.74,40.76,
2022-10-13 09:32:51,26.91,102006.94,40.66,
2022-10-13 09:32:54,26.92,102007.92,40.58,
2022-10-13 09:32:57,26.92,102008.27,40.55,
2022-10-13 09:33:00,26.92,102007.69,40.60,
2022-10-13 09:33:03,26.92,102008.74,40.51,
2022-10-13 09:33:06,26.93,102007.77,40.59,
2022-10-13 09:33:09,26.94,102010.46,40.37,
2022-10-13 09:33:12,26.94,102012.68,40.19,
2022-10-13 09:33:15,26.95,102010.03,40.41,
2022-10-13 09:33:18,26.96,102006.36,40.71,
2022-10-13 09:33:21,26.97,102007.35,40.63,
2022-10-13 09:33:24,26.97,102006.14,40.73,
2022-10-13 09:33:27,26.98,102006.85,40.67,
2022-10-13 09:33:30,26.98,102009.25,40.47,
2022-10-13 09:33:33,26.97,102006.96,40.66,
2022-10-13 09:33:36,26.97,102005.35,40.79,
2022-10-13 09:33:39,26.98,102007.80,40.59,
2022-10-13 09:33:42,26.98,102008.28,40.55,
2022-10-13 09:33:45,26.99,102006.97,40.66,
2022-10-13 09:33:48,26.99,102009.74,40.43,
2022-10-13 09:33:51,27.00,102006.85,40.67,
2022-10-13 09:33:54,27.00,102007.53,40.61,
2022-10-13 09:33:57,27.01,102015.05,39.99,
2022-10-13 09:34:00,27.02,102006.78,40.67,
